"Alexis" "Andolt" "Arnim" "Auerbach" "Berthold" "Brentano" "Chamisso" "Dincklage" "Droste" "Eichendorff" "Ense" "Frey" "Gall" "Gerstaecker" "Gluemer" "Goethe" "Goldammer_Hochzeitsnacht" "Goldammer_Wiedersehen" "Gotthelf_Kurt" "Gotthelf_Notar" "Grillparzer" "Grimm" "Grosse" "Hacklaender" "Halm" "Hartmann" "Hauff" "Heyden" "Heyse" "Hoefer" "Hoffmann" "Holtei" "Horner" "Immermann" "Kaehler" "Keller" "Kinkel_Margret" "Kinkel_Orthodoxie" "Kleist" "Kompert" "Kopisch_Karnevalsfest" "Kopisch_Traeumer" "Kruse" "Kuernberger" "Kugler" "Kurz" "Lewald" "Lohmann" "Lorm" "Ludwig" "Mei�ner" "Meyr" "Moerike" "Muegge" "Mueller" "Pichler" "Raabe" "Reich" "Riehl" "Roquette" "Rumohr" "Sacher-Masoch" "Schefer" "Scheffel" "Schmid" "Schreyvogel" "Schuecking" "Spindler" "Sternberg" "Stifter" "Storm" "Tesche" "Tieck_Gemaelde" "Tieck_Lebens" "Traun" "v.W." "Waldmueller" "Wallner" "Wichert" "Widmann" "Wilbrandt" "Wild" "Wildermuth" "Wolf" "Ziegler" "Zschokke"
"und" 2.62075603780189 2.51222992254382 3.44039608988193 4.09274654869956 3.17492012779553 3.89199708100219 3.51641670044589 3.32980972515856 3.24014071468247 3.93782383419689 3.42221676087491 2.766308835673 3.10122878876536 4.39941201175976 3.37078651685393 3.92551585304479 3.40389016018307 3.72811146676709 3.2967778405879 3.42178217821782 3.57401912298055 3.63769668941402 3.33926173278647 4.08582515407441 4.12212673793055 4.16717436334836 4.31302270011947 2.95807007466973 4.11929629971963 5.21435195092375 2.51649467095246 2.94244915620943 2.90678433535576 2.60018671553542 3.33394394577761 5.4523690002703 3.583694191429 2.64964305326744 3.52654429126361 2.6818971939409 3.67693773824651 4.09568684305908 2.43718474520341 2.98965740142211 2.79801581150209 2.49898580121704 3.78300951261615 2.82113974045514 2.60269677014738 3.37970394150169 3.11022381002417 3.86721852920273 3.31975252753886 4.63131383797398 3.77677564825254 2.78442090878032 4.27152317880795 3.18365653842165 3.12124849939976 3.29850440483507 3.31618067467124 3.22052401746725 4.72369714847591 5.46145869339786 4.36705930764878 2.98229263746505 2.94753149333442 3.87514972169379 3.78395712126071 4.04264995704684 2.56083306768675 2.9320650988263 3.9490594695642 3.83431290232298 3.47638824796185 2.52519596864502 2.91391434050714 2.81205164992826 3.56734909058958 4.20062280527397 2.83403037640326 3.16739857114767 3.30695308083663 3.44395742016281 3.73838456040029 3.20175709954835
"die" 2.966398319916 2.00264981655116 2.55173289323346 2.40561360689497 2.77955271565495 2.44060650287846 2.18382650993109 3.18446088794926 2.295871134975 3.1433506044905 2.69722290489064 2.5782181851546 2.6623756582797 2.42545149097018 2.73478906084376 2.07599396074484 2.17391304347826 2.80549802297119 2.44431882419446 2.22574257425743 2.63765248928454 2.35181320850488 2.42096475627019 2.81518679144792 2.83658212813526 2.29072742780553 2.32974910394265 2.20179973195482 3.06867547832517 1.92595762893216 3.12975807815936 2.61070243761719 2.57584114726972 2.57252515473186 2.42718446601942 2.18171989033479 3.32984918620278 3.13014827018122 3.3894432173052 2.64577736641308 2.68424396442186 1.94998187749184 2.27690567105077 2.32708468002586 2.9530305379011 2.65720081135903 2.71054467991332 2.6456021566046 2.58179157520644 3.13001605136437 2.45875801197856 2.82411472051507 2.13268950254011 1.85252553518959 2.22826447377147 2.78442090878032 2.84105960264901 2.22959659856891 2.84113645458183 2.15939356689203 2.60148656375071 2.64434740417273 2.56047197640118 2.28136882129278 2.58731546731135 1.96203462991122 2.11993966325574 2.60691890368492 3.61903889321545 2.57213603517105 2.27393475719902 2.22959116889917 2.29777621996339 2.21102714805486 2.52268881710506 1.60694288913774 3.13232473897294 2.78335724533716 2.28890255689307 2.59060491618631 2.12414703940128 2.4005374582159 1.99265121537592 1.81590482154039 2.83059328091494 2.14069170327291
"der" 3.13703185159258 2.47655931512434 2.33591468833312 2.57798794905042 2.6038338658147 2.77304792021406 1.98621807863802 1.94238900634249 2.60445596494476 2.99827288428325 1.47456377488326 2.81218460409212 2.61849034523113 2.32045359092818 2.84078863684545 1.25817815802718 2.25972540045767 3.85991338730936 2.25890333521764 1.64752475247525 2.40026376524893 1.54531611302239 1.85111248230554 3.63691699003272 2.83658212813526 2.74156208115024 2.3715651135006 2.45069883208884 2.80062852389315 2.37534774234967 2.91828793774319 1.88951391893841 2.43243243243243 2.48954047232115 1.62117603956769 1.77626752133452 2.78482902792295 2.25837451949478 3.17617488003656 2.4967830778608 1.96950444726811 1.79775280898876 2.43718474520341 3.33710407239819 2.49573709502403 3.42799188640974 1.95394277739009 1.9936054165883 3.01034807149577 2.56821829855538 3.48849427340549 2.77603578744931 2.72622101503948 2.28907233804393 2.87817494528815 2.49971529438561 3.39735099337748 2.1570050814062 3.12124849939976 1.65130096291743 2.44139508290452 1.90441533236293 2.4070796460177 2.83442792948496 2.38156473432437 1.78054642664443 2.40531615638632 2.82533643345311 2.8402583718906 2.26893728839254 2.56083306768675 2.48701950346874 2.60155002531448 2.11586901763224 3.95323796339025 1.5565509518477 3.28681014276582 3.15638450502152 2.21421667691767 3.33929636255218 1.83799251595862 2.01546830962837 2.06331260599209 2.31684408265498 3.96711937097927 2.60162098620306
"sie" 1.0806790339517 1.5695067264574 1.67576488510854 1.15475554877584 2.91932907348243 1.83248195897186 1.24645318200243 1.58562367864693 1.1479355674875 1.49222797927461 2.02138117473581 0.752362602073585 2.35517846693973 1.06047879042419 1.95745883683132 2.11373930548566 0.486270022883295 0.734324985878366 1.63482193329565 2.45544554455446 1.79360369271349 3.18650950313011 3.53889151029001 0.623906261888458 1.20170474393908 1.91300109662483 1.37395459976105 1.98161975875933 1.90097667683396 0.684784934731436 1.19269159194722 1.93278523005914 2.07391064533922 2.10227862107119 2.80271111925261 1.72606865660115 2.00089592354786 3.10955518945634 2.63538731053393 1.91435085897465 1.00857687420584 1.05835447625951 0.57511903078301 0.945378151260504 0.751821423035188 0.454361054766734 2.11187424247989 2.6644097548743 1.43200585345458 3.1210986267166 0.541136912892718 1.32321585350558 1.232332377647 1.18931020008395 1.25339876649645 1.01924609953308 0.56953642384106 2.02219226381831 0.940376150460184 2.03646793689818 1.64093767867353 2.81416787967006 2.62733529990167 1.1752506049084 2.09351370814259 2.81061460734782 2.64992457906967 1.06390474177411 1.96985661276284 1.91015210470463 0.913824248220168 0.999170993498844 1.12552089418546 1.46655471592499 0.953699430856791 0.979843225083987 0.862987428084381 0.315638450502152 1.79685440646692 0.954084675014908 2.5643847677746 3.31487186209609 2.27529677784059 1.12711333750783 1.33666904932094 1.73235166738848
"er" 2.34949247462373 1.01916021198532 2.36130506538022 2.61154755548776 1.62939297124601 2.40006486661802 1.28698824483178 0.528541226215645 1.74659013762883 1.66493955094991 0.552961415581224 1.73410404624277 1.45552954944412 1.78496430071399 1.64652674722634 0.402617010568697 1.54462242562929 1.86405573338354 1.97173544375353 1.23564356435644 1.1605670952852 2.30105465004794 0.863852491742586 1.3619417180248 1.90735694822888 0.926038747410747 1.27240143369176 1.41681026230136 1.71611670826016 1.94022398173907 1.07003891050584 1.26929179287466 1.20242691671263 1.32429722347083 0.796849239787507 1.16615824226744 1.38121546961326 1.22185612300934 1.91941503541778 1.73149423211504 1.19917407878018 1.58028271112722 2.06477160231933 2.0846800258565 1.9221826073477 2.18661257606491 1.2634517207184 1.29145508118613 1.05571234451761 1.07900838237917 1.82830723967637 2.38931393452904 1.30778129872743 2.31705610745767 1.66788248557597 2.81289147021979 1.03311258278146 2.19848594835632 2.08083233293317 1.13911083794304 1.16066323613493 1.4798641436196 1.33333333333333 1.7628759073626 1.47626150918163 0.892725756609604 1.33311590362428 0.951173113506658 0.586375921938705 1.5968467330335 1.94453299330571 0.807190540599503 1.60065428204229 0.82843548838511 1.36902015074604 1.2989921612542 1.43298529725123 0.746054519368723 2.53053334504877 2.17981845888823 2.10763812458728 1.91715278232942 1.82306387789712 0.782717595491547 1.77269478198713 1.6581080245004
"zu" 1.45694784739237 1.60517733387689 1.62498413101435 1.26153611471284 1.48162939297125 1.16759912430066 1.72780705310093 0.924947145877378 1.11707708449053 0.766839378238342 1.806340624232 1.45884943572805 1.51404330017554 1.08147837043259 1.41332768002261 2.06341217916457 1.45881006864989 0.790811523253625 1.42679479932165 1.24356435643564 1.52324431256182 1.35920139868028 1.34296395775108 1.27063836262649 1.77461049395654 1.49872060436213 0.961768219832736 1.62741719318399 1.49428474597159 1.14844140095585 1.59025545592962 1.6010385114669 1.58852730281302 1.49718197849314 1.87763326616596 1.32061628760088 1.00791399133941 1.60626029654036 1.65282961383197 1.11971465336253 1.38182973316391 1.38455962305183 1.56507801819639 1.06658047834518 2.030692915827 1.69168356997972 1.66746244536673 1.13472509560529 1.81875195986203 1.18601747815231 1.37123042975728 1.22078682219156 1.27257180222323 1.32083391632853 1.70435705285496 1.33242227536727 1.33112582781457 1.22368557502852 1.08043217286915 1.66359352591682 1.852487135506 1.03105288694808 1.28613569321534 0.967853439336329 1.45054266755825 1.82469220581743 1.62664601084431 1.48664834777707 1.03531998717303 1.26332811157714 1.22197428541069 1.15188271739605 1.43318923550259 1.27064091799608 0.799876942008922 1.65733482642777 1.59812486682293 1.52080344332855 1.51129074773746 0.934207910952097 1.65639445300462 1.48456446221407 1.34256642170718 1.50281778334377 1.3795568263045 1.42609664047516
"in" 1.29506475323766 1.63575214023645 1.5361178113495 1.28746853786896 1.21405750798722 1.21624908781318 1.3325901905148 1.28171247357294 1.20965253348145 1.51986183074266 1.52371590071271 1.37168547573172 0.950848449385606 1.28097438051239 1.02466256801639 1.39657775541017 1.57322654462243 1.78874035021653 1.34991520633126 0.95049504950495 1.29904385097263 1.21256556313801 1.19051940038474 1.3999847827741 1.81653042688465 1.76678445229682 1.26642771804062 1.76143978556385 1.27861478263549 0.955845638062629 1.71713754017933 1.16832540025963 1.25758411472697 1.41765499118288 1.26396775966294 1.39398385913426 1.59026429744662 1.44838001098298 1.88133140376266 1.14003205634693 1.08799237611182 0.964117433852845 1.45193984820629 1.22010342598578 1.43388621919082 1.72008113590264 1.46178425827304 1.14099429502852 1.64105780286401 1.34653112181202 1.32920037827046 1.24378109452736 1.34299079523163 1.16692318455296 2.1387359904503 1.11604600842729 2 1.27553665871617 1.12044817927171 1.58164310592092 1.42367066895369 0.976467734109655 1.16814159292035 1.52091254752852 1.17277917802582 1.41757002011085 1.61441558971014 1.13436200944127 1.86907325117962 1.85456566779524 1.61513122941239 1.3089576334046 1.59286521011022 1.60089560593339 1.43054914628519 1.38297872340426 1.42233113147241 1.43472022955524 1.1510412090326 1.04684290730802 1.3812458727713 1.32725961853575 1.27190503109101 1.37758296806512 1.40100071479628 1.03322403019241
"ich" 0.866293314665733 3.02181002853649 1.34568998349626 0.770345511402639 0.88258785942492 2.64331468418065 4.27138224564248 1.00422832980973 0.685058322532864 0.414507772020725 2.8016711722782 0.816588677860354 0.885020479812756 0.934481310373793 1.65359338562646 4.05133366884751 2.05949656750572 1.71342496704952 0.0972300734878462 0.823762376237624 3.22453016815035 1.33100219953753 1.64059380784727 0.745644069086206 0.656745615873681 2.36383574996954 1.78016726403823 0.603101665709362 1.10915981144283 2.83900420857408 1.34495009304686 0.461560651954421 1.16381687810259 3.17762179730991 3.76442571899615 0.702784106267135 0.313573241750037 0.604063701263042 0.403686495544215 1.1671219269928 0.555908513341804 1.32656759695542 1.2350916890586 1.42210730446025 0.426290497597272 0.121703853955375 2.73992727806956 1.74283743965896 1.74558377756873 0.249687890137328 1.13481139014395 1.06400769262929 0.910416981037171 0.797537428291591 1.18376550169109 0.967999088942034 0.357615894039735 1.05776210722804 0.38015206082433 2.70436385986478 0.72041166380789 2.86268801552644 0.589970501474926 0.172830971310059 1.32194845944139 3.53166233384019 0.925435199152024 1.40209962657648 1.60337166155115 1.9505786042751 3.10275209860801 1.36131593874078 1.3552985161818 1.56171284634761 0.969081679741578 2.43001119820829 0.388877050926912 1.26255380200861 0.935770143221158 0.993838203140529 1.45828747523663 1.16340040637085 0.847936687394008 4.41452723857232 1.02930664760543 1.28998329518035
"den" 1.38256912845642 1.15674684060334 1.54881299987305 1.08611089924491 1.26198083067093 1.24868239682154 1.4288609647345 1.12315010570825 1.48120718385484 1.79620034542314 0.9338903907594 1.17900724837141 1.20684610883558 1.40697186056279 1.06706239841707 0.805234021137393 2.17391304347826 1.69459612125777 1.1464104013567 0.744554455445545 1.34520276953511 1.04901020811009 0.914667344198033 1.44563646047326 1.33445119821142 0.986962349214086 1.12305854241338 1.22534941604442 1.31558677635025 1.1698409301662 1.48452038572154 0.980816385403144 1.33480419194705 1.36578956467619 0.952555413079319 1.1507124377341 1.47080782439898 1.09829763866008 1.5614288978597 0.921055601959501 1.27064803049555 1.05835447625951 1.30580304530241 1.22818358112476 1.37963106495117 1.47667342799189 0.921879017152092 1.04695630368002 0.972091564753841 1.24843945068664 1.33445413470632 1.09118274175342 1.1971228811428 1.2061004617322 1.31971616154917 1.63421022662567 1.58278145695364 1.14072384112828 1.56062424969988 0.950624871952469 1.72670097198399 1.29184861717613 1.14060963618486 1.65917732457656 1.1779229463505 0.995732574679943 1.29234783317706 1.33164235890932 1.17733290576756 1.05614230127849 1.13696737859951 1.38313189929753 1.02426295906843 0.884410859221942 1.36902015074604 0.70548712206047 1.2571915619007 1.46341463414634 1.2433002372375 1.8154111177367 1.04556460488664 0.974962312381202 1.04578858111928 0.876643706950532 1.21515368120086 1.20027222669059
"das" 0.94067203360168 1.39115368935997 1.05370064745461 1.15628098543208 1.08626198083067 1.15138246979648 0.957640859343332 1.08350951374207 1.17879405048448 1.09844559585492 1.01990661096092 1.252408477842 1.31655939145699 1.70096598068039 1.25786163522013 0.85556114745848 1.57322654462243 1.31801920542271 1.03787450537027 1.22772277227723 1.20013188262446 1.39304043765157 1.1324452832928 1.3999847827741 1.1318381890589 1.07225539173876 0.878136200716846 0.622247750335057 1.16153680253874 1.3053712818318 1.32803248181357 0.750036059425934 1.13072255929399 0.937035372220878 0.69609818648104 1.25111016720083 1.16470061221442 1.06397583745195 1.27961002361185 1.39738582748267 0.802096569250318 0.942370424066691 1.0182435299109 1.95539754363284 1.08510308479306 1.08316430020284 1.16061262717156 1.14726349445176 1.21250130657468 1.48920991617621 1.08227382578544 1.32530624189974 1.07640460741411 0.881488736532811 1.03123549306983 1.46338685798884 1.52317880794702 1.06813232396557 0.620248099239696 1.16779348494161 0.97770154373928 1.74065987384765 1.29006882989184 0.725890079502247 1.37852991101281 1.16741060479717 1.1374291654776 1.17663637004157 1.14068441064639 1.18752842488251 1.13696737859951 1.26532571229111 0.981423063441991 1.11950741673664 1.03061067528073 0.795072788353863 1.09737907521841 0.717360114777618 1.33116597838503 0.960710263035844 1.22716266784063 1.37477879006358 1.15884680610514 1.84721352536005 1.14367405289492 1.03941100043309
