"m_Arnim_Isabella-von-Aegypten_1812" "m_Diderot_Jakob_1796" "m_Hauff_Lichtenstein_1826" "m_Hoffmann_Kater-Murr_1820" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Novalis_Ofterdingen_1802" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"bloß" 0.0253042840152838 0.0205801434111046 0.000799315785687452 0.0188064664154123 0 0.00314783586284429 0 0.141375794886815 0.00164644286020054 0.00943841434638981 0.0166614082789474 0.0181040530448754 0.0108113952105519 0 0.00535489571340598
"leute" 0.0404868544244541 0.0519919412491064 0.04076510507006 0.0338516395477421 0.0607284686873098 0.0670039347948286 0.0201157774747994 0.0366112616240756 0.0312824143438102 0.00707881075979235 0.00992594535767081 0.0837312453325488 0.0540569760527596 0.00606857489632851 0.0120485153551635
"ebenso" 0 0.0389939559368298 0.00799315785687451 0.0315948635778926 0.0231996397232419 0.0238336143901068 0 0.0208402566167815 0.0559790572468183 0.0401132609721567 0 0.0339450994591414 0.0288303872281385 0 0
"drei" 0.0151825704091703 0.0444097831502784 0.0343705787845604 0.0203109837286453 0.0607284686873098 0.0382237211916807 0.00670525915826647 0.0518190164525377 0.0559790572468183 0.188768286927796 0.0326138204609184 0.0294190861979226 0.0162170928158279 0.024274299585314 0.010709791426812
"wasser" 0.0303651408183405 0.0064989926561383 0.00719384207118706 0.0142929144757133 0.0266113514472481 0.0125913434513772 0.0290561230191547 0.0230932573321092 0 0.0424728645587541 0.00957144730918256 0.0113150331530471 0.0108113952105519 0.00202285829877617 0.00267744785670299
"dabei" 0.0657911384397378 0.0400771213795195 0.00799315785687451 0.041374226113907 0.0163762162752296 0.048566610455312 0.0111754319304441 0.0219667569744453 0.0576255001070188 0.10146295422369 0.0326138204609184 0.0271560795673131 0.0756797664738635 0.0323657327804187 0.0013387239283515
"kapitel" 0 0.00324949632806915 0.00319726314274981 0.00150451731323298 0.0743753155833345 0.0175379426644182 0.0268210366330659 0.0287257591204285 0 0.117980179329873 0.00106349414546473 0 0 0 0
"ins" 0.0708519952427946 0.0628235956760036 0.0807308943544326 0.0707123137219502 0.0600461263425086 0.0517144463181563 0.0357613821774212 0.066463521102168 0.0411610715050134 0.0377536573855592 0.0336773146063831 0.0271560795673131 0.00720759680703461 0.0424800242742996 0.0187421349969209
"womit" 0.0177129988106987 0.0108316544268972 0.0167856314994365 0.00677032790954842 0.00272936937920493 0.00359752670039348 0.00447017277217764 0.0343582609087478 0.00658577144080215 0 0.00425397658185892 0.0226300663060943 0.0234246896228625 0.0343885910791949 0.00401617178505449
"herum" 0.0101217136061135 0.00541582721344858 0.0015986315713749 0.00225677596984947 0.000682342344801234 0.019336706014615 0.00670525915826647 0.0180240057226218 0.00329288572040107 0.0047192071731949 0.0141799219395297 0.00452601326121886 0.00540569760527596 0 0
"nämlich" 0.00759128520458514 0.0129979853122766 0.00879247364256197 0.0556671405896203 0.00477639641360864 0.00674536256323777 0 0.09913203147442 0.0312824143438102 0 0.00602646682430013 0 0.00720759680703461 0.0202285829877617 0
"hab" 0.0253042840152838 0.00758215809882801 0.0175849472851239 0.0127883971624803 0.000682342344801234 0.00224845418774592 0.0111754319304441 0.0371745118029075 0 0.00235960358659745 0.00354498048488243 0.047523139242798 0.00360379840351731 0.0404571659755234 0
"leser" 0 0.0812374082017287 0.00719384207118706 0.0270813116381937 0.0102351351720185 0.0211354693648117 0.0111754319304441 0.0309787598357562 0.00823221430100268 0.0141576215195847 0.00531747072732365 0.00226300663060943 0 0.00809143319510468 0.0013387239283515
"damit" 0.0455477112275108 0.0660730920040727 0.0191835788564988 0.0850052281976635 0.0668695497905209 0.0768971332209106 0.0178806910887106 0.0737857734269831 0.0625648286876204 0.108541764983483 0.0492752287398658 0.0497861458734074 0.0378398832369317 0.0384343076767472 0.0174034110685694
"erwiderte" 0 0.00974848898420745 0.0319726314274981 0.0962891080469108 0.152162342890675 0.00134907251264755 0 0.0016897505364958 0.0279895286234091 0.0684285040113261 0 0.00452601326121886 0.00360379840351731 0 0
"stück" 0.0101217136061135 0.0119148198695869 0.00559521049981216 0.00677032790954842 0.0143291892408259 0.0103428892636313 0.00670525915826647 0.00563250178831932 0 0.00943841434638981 0.0074444590182531 0.0181040530448754 0.0216227904211038 0 0.00535489571340598
"solche" 0.00253042840152838 0.015164316197656 0.0239794735706235 0.0180542077587958 0.0150115315856271 0.0418212478920742 0.0156456047026218 0.0597045189561848 0.0345753000642113 0.0235960358659745 0.0244603653456888 0.00678901989182828 0.0198208912193452 0.0485485991706281 0.013387239283515
