"m_Arnim_Graefin-Dolores_1810" "m_Bruckbraeu_Mittheilungen_1829" "m_Cleland_Fanny-Hill_1748" "m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Engel_Lorenz-Stark_1801" "m_Fielding_Tom-Jones_1749" "m_Gellert_Graefin-von-G_1747" "m_Goethe_Lehrjahre_1795" "m_Goethe_Wahlverwandschaften_1809" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Haller_Usong_1771" "m_Hauff_Memoiren-des-Satan_1826" "m_Heine_Harzreise_1824" "m_Heinse_Hildegard_1795" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Jacobi_Woldemar_1779" "m_Klinger_Faust_1791" "m_Klinger_Geschichte-eines-Teutschen_1798" "m_Knigge_Braunschweig_1792" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Scott_Ivanhoe_1819" "m_Stendhal_Rot-und-Schwarz_1830" "m_Swift_Gullivers-Reisen_1726" "m_Tieck_William-Lovell_1795" "m_Wieland_Abderiten_1774" "m_Wieland_Aristipp_1801" "m_Zschokke_Goldmacherdorf_1817" "w_Ahlefeld_Erna_1820" "w_Ahlefeld_Marie-Mueller_1799" "w_Ehrmann_Nina_1788" "w_Fouque_Falkenstein_1810" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Spanier_1814" "w_Huber_Luise_1796" "w_Huber_Seldorf_1795" "w_La-Roche_Rosaliens-Briefe_1779" "w_Liebeskind_Maria_1784" "w_Mereau_Amanda-und-Eduard_1803" "w_Mereau_Bluethenalter_1794" "w_Pichler_Agathocles_1808" "w_Schlegel_Florentin_1801" "w_Unger_Julchen-Gruenthal_1798"
"bloß" 0.0319142619641373 0.00645841854857807 0 0.0339154329062757 0 0.0145052051370742 0 0.0516443182027777 0.0230366492146597 0.0119061793070604 0.0189470493128537 0.00888840268566506 0 0.00887279954571266 0.00335435395142895 0.0388220287283013 0.0440531980343159 0.0805135806682094 0 0.0069230502959604 0.0124298876648902 0.0154736882825495 0.0104978610608089 0.0540087531427507 0 0.00314783586284429 0.0271606279537183 0.0400560785099139 0.0770517066133316 0.00525786543807878 0.0388500388500388 0.028235089700708 0.08356452852893 0.0247112777911025 0.0243236669279209 0.0185939272233688 0.00302428500861921 0.0222321031569586 0.0669811057464207 0.0787943088391317 0.0141924496168039 0 0.00233978333606308 0 0.00457644959040776 0 0 0.0025438172521686 0.00216480673687857 0.00317904374364191 0.0510197574010536 0.0181382131844656 0 0 0.0269348177410666 0.0132575950722539
"nämlich" 0.00593753710960694 0.0193752556457342 0.0278577398087102 0.0207645507589443 0.00694364078231686 0.0312419802952367 0 0.0171269422611253 0.0146596858638743 0.00207063987948876 0.00505254648342765 0.0102558492526905 0 0 0.0324254215304799 0.0332760246242582 0.00911445476572053 0.0122636579825749 0 0 0.00310747191622256 0.0012894740235458 0.0314935831824266 0.0130365955861812 0.00477639641360864 0.00674536256323777 0.036472843252136 0 0.0196727761565953 0.00262893271903939 0 0.00868771990791017 0.0066851622823144 0 0.00608091673198022 0.0198335223715934 0.12802806536488 0.0127040589468335 0.0167452764366052 0.021772111652918 0.0236540826946731 0.0303772135160731 0 0 0.00152548319680259 0 0 0.00763145175650581 0 0 0.00255098787005268 0 0 0.000710307989544266 0.0125695816124978 0.00611889003334795
"selber" 0.00742192138700867 0.00215280618285936 0 0.00346075845982406 0.00231454692743895 0.118273211117682 0.00225580870742161 0.00263491419401927 0.037696335078534 0.00310595981923314 0 0.00341861641756348 0.00505382321726386 0.0869534355479841 0 0.0277300205202152 0 0 0 0.0761535532555644 0.00155373595811128 0 0.0209957221216177 0.0428345283545954 0.0579990993081049 0.0103428892636313 0.0822579018026897 0.0600841177648708 0.00163939801304961 0.12750323687341 0.0259000259000259 0 0.0100277434234716 0.00145360457594721 0.03175589848923 0.0495838059289836 0 0.0965508479959347 0.00372117254146782 0.00207353444313505 0.0615006150061501 0.00357378982542037 0.0116989166803154 0 0.00610193278721035 0 0.0145277043321614 0 0 0 0 0 0.00629128656810318 0.000710307989544266 0.0179565451607111 0.00305944501667398
"ebenso" 0 0.00107640309142968 0.0325006964434952 0 0.0254600162018285 0.0145052051370742 0 0.0729871231743338 0.031413612565445 0.0181180989455266 0.013894502829426 0.0218791450724063 0.0151614696517916 0 0.0100630618542869 0.0277300205202152 0.000759537897143378 0.00586522773079671 0 0 0.0170910955392241 0.0283684285180075 0 0 0.0231996397232419 0.0238336143901068 0.0380248791352056 0 0.0368864552936162 0 0 0.028235089700708 0.0066851622823144 0.00726802287973603 0.0290532688305721 0.0247919029644918 0.0231861850660806 0.0387473797878422 0 0.000345589073855841 0.00236540826946731 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0359130903214222 0
"jedoch" 0.000742192138700867 0.093647068954382 0.00464295663478503 0.0207645507589443 0.0208309223469506 0.00446314004217667 0 0.0118571138730867 0 0.00880021948782723 0.0315784155214228 0.0827305173050363 0 0 0.00559058991904826 0.0110920082080861 0.0486104254171762 0.00373241764687063 0 0.0034615251479802 0 0 0.0262446526520222 0.0130365955861812 0.0266113514472481 0.0575604272062957 0 0.00400560785099139 0.00163939801304961 0 0 0.0195473697927979 0 0.1431800507308 0.0222966946839275 0.00929696361168442 0.301420405859048 0 0.00465146567683477 0.00483824703398177 0.00946163307786924 0.0232296338652324 0.00467956667212616 0 0.0106783823776181 0.00476780776199104 0.00290554086643229 0.0025438172521686 0.00541201684219641 0.00136244731870368 0.00127549393502634 0.0141074991434733 0.0251651462724127 0.00142061597908853 0.00179565451607111 0.00407926002223197
"sondern" 0.033398646241539 0.0731954102172181 0.0325006964434952 0.118357939325983 0.048605485476218 0.033473550316325 0.0744416873449131 0.0521713010415816 0.0607329842931937 0.0393421577102864 0.0467360549717057 0.0642699886501935 0.0126345580431597 0.026618398637138 0.0525515452390536 0.0388220287283013 0.0379768948571689 0.163693173941326 0 0.0311537263318218 0.00776867979055639 0.0154736882825495 0.0813584232212687 0.0949809106993202 0.0102351351720185 0.0355255761663856 0.0869140094518985 0.100140196274785 0.0885274927046788 0.0381195244260711 0.0518000518000518 0.0304070196776856 0.123675502222816 0.241298359607236 0.0479716764411773 0.0179741296492566 0.0493966551407805 0.0514514387346757 0.0707022782878885 0.0584045534816371 0.132462863090169 0.105426799849901 0.0655139334097663 0 0.0198312815584336 0.0143034232859731 0.00581108173286457 0.0559639795477093 0.0238128741056642 0.0558603400668507 0.0165814211553424 0.0322457123279389 0.0251651462724127 0.0284123195817707 0.0251391632249955 0.0377331552056457
"worin" 0.0141016506353165 0.0398269143828981 0 0.025609612602698 0.00231454692743895 0.0033473550316325 0.0383487480261674 0.0242412105849773 0 0.0124238392769326 0.0126313662085691 0.0150419122372793 0 0.00709823963657013 0.00670870790285791 0.0554600410404304 0.0379768948571689 0.00799803781472279 0.0142328494164532 0 0.0201985674554466 0.00902631816482057 0 0 0.0020470270344037 0.0103428892636313 0.0791538300365505 0.0360504706589225 0.045903144365389 0 0 0.00217192997697754 0 0.000726802287973603 0.00608091673198022 0.00247919029644918 0.0262104700746998 0.00190560884202503 0.0372117254146782 0.0459633468228269 0.0118270413473366 0 0.00233978333606308 0 0.00457644959040776 0.00238390388099552 0 0.00508763450433721 0.00108240336843928 0.00408734195611103 0 0.00604607106148854 0 0.00568246391635413 0.00359130903214222 0.0193764851056018
"heraus" 0.0237501484384277 0.00430561236571871 0.0185718265391401 0.00899797199554254 0.0138872815646337 0.0167367751581625 0.0315813219039026 0.00948569109846938 0.00209424083769634 0.00724723957821066 0.0151576394502829 0.0109395725362031 0.0101076464345277 0.00177455990914253 0.0145355337895255 0.0166380123121291 0.0068358410742904 0.00586522773079671 0.0284656988329063 0.0069230502959604 0.0155373595811128 0 0.0131223263260111 0.00931185399012944 0.0061410811032111 0.0274311410905003 0.0100882332399525 0.0200280392549569 0.00901668907177284 0.0249748608308742 0 0.00217192997697754 0.0033425811411572 0.0276184869429969 0.00810788897597362 0.00929696361168442 0.0110890450316038 0.0127040589468335 0.0102332244890365 0.0076029596248285 0.00709622480840193 0.00178689491271018 0.00935913334425232 0.00911307042125168 0.0167803151648285 0.0214551349289597 0.0348664903971874 0.0025438172521686 0.00865922694751426 0.011353727655864 0.00765296361015803 0.00604607106148854 0.00629128656810318 0.00568246391635413 0.0125695816124978 0.0183566701000439
"versetzte" 0 0.0129168370971561 0.00928591326957006 0.00830582030357773 0.048605485476218 0 0.00225580870742161 0.0163364680029195 0.0167539267015707 0.139250531895619 0.1553658043654 0.102558492526905 0.0429574973467428 0.00354911981828507 0 0 0.0151907579428676 0.00426562016785215 0 0 0.00466120787433384 0 0 0.00186237079802589 0.0668695497905209 0.00764474423833614 0.0100882332399525 0 0.0213121741696449 0.000657233179759847 0.0388500388500388 0.00434385995395508 0 0.0370669166866537 0.144590686738196 0.00743757088934754 0.00100809500287307 0.000635202947341676 0.0316299666024764 0.0138235629542336 0.00473081653893462 0.0268034236906528 0.0561548000655139 0 0.00152548319680259 0.00715171164298655 0 0.0025438172521686 0 0.000454149106234559 0 0 0 0.000710307989544266 0.00538696354821332 0.00509907502778996
"zwei" 0.0341408383802399 0.0753482164000775 0.0789302627913455 0.205569052513549 0.0601782201134128 0.0357051203374134 0.0248138957816377 0.0447935412983276 0.0146596858638743 0.0253653385237373 0.0239995957962813 0.0376047805931983 0.0480113205640067 0.0337166382737081 0.0559058991904826 0.0776440574566025 0.0934231613486355 0.0394569865526324 0.0142328494164532 0.0588459275156634 0.0357359270365594 0.00902631816482057 0.0656116316300554 0.00931185399012944 0.113268829237005 0.0836424957841484 0.0232805382460442 0.052072902062888 0.0401652513197154 0.0374622912463113 0.012950012950013 0.0803614091481691 0.0267406491292576 0.111200750059961 0.0689170562957758 0.0892508506721705 0.171376150488422 0.0165152766308836 0.0158149833012382 0.0490736484875294 0.0638660232756174 0.0125082643889713 0.0163784833524416 0.0250609436584421 0.0289841807392492 0.0405263659769238 0.00871662259929686 0.025438172521686 0.0248952774741035 0.152139950588577 0.0471932755959745 0.0241842842459542 0.0251651462724127 0.0554040231844528 0.0197521996767822 0.0203963001111598
