"m_Arnim_Graefin-Dolores_1810" "m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Cleland_Fanny-Hill_1748" "m_Crebillon_Schaumloeffel_1735" "m_Crebillon_Sopha_1742" "m_Fielding_Tom-Jones_1749" "m_Forster_Ansichten_1791" "m_Goethe_Werther_1774" "m_Hauff_Bettlerin_1826" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Hoffmann_Elixiere_1816" "m_Jacobi_Eduard-Allwill_1792" "m_Knigge_Benjamin-Noldmann_1790" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Teufel_1707" "m_Loen_Der-redliche-Mann_1740" "m_Moritz_Anton-Reiser_1785" "m_Mueller_Siegfried_1779" "m_Novalis_Lehrlinge_1802" "m_Paul_Flegeljahre_1804" "m_Paul_Hesperus_1795" "m_Paul_Katzenberger_1809" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Titan_1800" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Sade_Geschichte-der-Justine_1797" "m_Schiller_Geisterseher_1787" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Spindler_Der-Jude_1827" "m_Stendhal_Rot-und-Schwarz_1830" "m_Tieck_William-Lovell_1795" "m_Waiblinger_Briten-in-Rom_1828" "m_Wezel_Belphegor_1776" "m_Wieland_Agathon_1794" "m_Wieland_Aristipp_1801" "m_Wieland_Der-goldene-Spiegel_1772" "m_Wieland_Peregrinus_1788" "w_Ehrmann_Nina_1788" "w_Fischer_Guenstling_1808" "w_Fischer_Honigmonathe_1802" "w_Fischer_Margarethe_1812" "w_Fouque_Falkenstein_1810" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Huber_Ellen-Percy_1822" "w_La-Roche_Oneida_1798" "w_La-Roche_Rosaliens-Briefe_1779" "w_Mereau_Amanda-und-Eduard_1803" "w_Mereau_Bluethenalter_1794" "w_Naubert_Amtmannin_1787" "w_Naubert_Hermann-von-Unna_1788" "w_Schlegel_Florentin_1801"
"bloß" 0.0319142619641373 0.0142813938640411 0.0043525571273123 0 0.051936605864115 0.1256801725246 0.0516443182027777 0.0419400996694133 0 0 0 0.00654052791403878 0.0362830074581738 0.0224995982214603 0.0540087531427507 0.0022625714124102 0.0032758691290283 0.0271606279537183 0.0275867922926746 0.00933358222885944 0.100235774715368 0.143894778963877 0.184521612837942 0.190818273655854 0.100661272931543 0.00525786543807878 0.0388500388500388 0.0239185402856557 0.0289116093253082 0.028235089700708 0.08356452852893 0.0247112777911025 0.00265656665325733 0.0185939272233688 0.0222321031569586 0.0184862409549464 0.0107388316151203 0.0167280026764804 0.0787943088391317 0.0474748301547025 0.0626548838079207 0 0 0.00298338255914556 0.00527384436885268 0.00457644959040776 0 0.000724968645106099 0 0.000983216494439911 0.00317904374364191 0.0181382131844656 0 0 0.000761237772618277 0.0269348177410666
"leute" 0.0630863317895737 0.0285627877280823 0.0174102285092492 0.0278577398087102 0.0188860384960418 0.0628400862623002 0.0418951356849064 0.00904590385026562 0.0303229393035832 0.0191183700223958 0 0.00747488904461574 0.0725660149163475 0.0846413456902555 0.0148989663842071 0.0475139996606143 0.133491667007903 0.0496651482582277 0.0827603768780239 0 0.0245861334207507 0.0238477302215414 0.0214283163295675 0.0486399521083548 0.0196044426683155 0.0893837124473392 0 0.0432811681359484 0.0289116093253082 0.00217192997697754 0 0.0297988938069177 0.0352943855361331 0.0446254253360852 0.0400177856825256 0.00528178312998468 0.0547680412371134 0.0483253410653879 0.0262647696130439 0.067938119014488 0.0233786879880301 0.0387305492903196 0.0301987074953192 0.047734120946329 0.0527384436885268 0.0122038655744207 0.00953561552398207 0.0427731500612598 0.0203043394885562 0.0265468453498776 0.0590393838104927 0 0 0.028878970858493 0.0304495109047311 0.0287304722571377
"ebenso" 0 0.0302429517120871 0.0043525571273123 0.0325006964434952 0.0409197500747572 0.0371327782459047 0.0729871231743338 0 0.0151614696517916 0.0136559785874256 0 0.0224246671338472 0.0362830074581738 0.026785235977929 0 0.022625714124102 0 0.0380248791352056 0 0 0.021434065033475 0.0315275077505123 0.0238092403661861 0.0187076738878288 0.0294066640024732 0 0 0.0643522631495023 0.0157699687228954 0.028235089700708 0.0066851622823144 0.00726802287973603 0.000379509521893904 0.0247919029644918 0.0387473797878422 0 0 0.00123911130936892 0.000345589073855841 0.000818531554391422 0 0 0 0 0 0 0 0 0.00451207544190139 0 0 0 0 0 0 0.0359130903214222
"drei" 0.0274611091319321 0.0151214758560435 0.0282916213275299 0.0325006964434952 0.0220337115787154 0.0128536540081978 0.0210793135521542 0.0402953898784559 0.0101076464345277 0.0218495657398809 0 0.0214903060032703 0.0403144527313042 0.0310708737343976 0.0148989663842071 0.0690084280785112 0.0270259203144834 0.0263846100121835 0.0381970970206264 0.00933358222885944 0.0542155762611426 0.0646718107702817 0.0214283163295675 0.101021438994275 0.0346847831824043 0.0315471926284727 0.0259000259000259 0.0643522631495023 0.0289116093253082 0.0390947395855958 0.0100277434234716 0.0784946471011491 0.0193549856165891 0.0656985428559033 0.00762243536810011 0.0343315903449004 0.0332903780068729 0.0117715574390047 0.0414706888627009 0.0229188835229598 0.0271192780661149 0.0364522816850067 0.00603974149906384 0.0596676511829112 0.00791076655327901 0.0137293487712233 0.0143034232859731 0.0043498118706366 0.0214323583490316 0.0196643298887982 0.042235866879814 0.00403071404099236 0 0.0227531285551763 0.0167472309976021 0.0143652361285689
"wasser" 0.0244923405771286 0.0134413118720387 0.00652883569096844 0.0185718265391401 0.00629534616534727 0 0.00922219967906745 0.0222035821779247 0.0252691160863193 0.00273119571748511 0.0142328494164532 0.00840925017519271 0.00403144527313042 0.00428563775646863 0.00372474159605177 0.00791899994343571 0.0171983129273986 0.0108642511814873 0.0169764875647229 0.0466679111442972 0.0271077881305713 0.0169763503271989 0.0261901644028047 0.0299322782205261 0.0282756384639165 0.0197169953927954 0.0647500647500648 0.0102508029795667 0.0105133124819302 0.0130315798618653 0.0033425811411572 0.0174432549113665 0.0140418523100745 0.00371878544467377 0.00825763831544178 0.0369724819098928 0.0118127147766323 0.00805422351089798 0.00933090499410771 0.00409265777195711 0.00935147519521204 0.00911307042125168 0 0.0119335302365822 0 0.00610193278721035 0.0238390388099552 0.0195741534178647 0.00451207544190139 0.0452279587442359 0.0104454294433949 0.00806142808198472 0 0.00350048131618097 0.00304495109047311 0.00179565451607111
"dabei" 0.0638285239282746 0.0378036896401089 0.0282916213275299 0.0232147831739252 0.0409197500747572 0.0371327782459047 0.0656093634310799 0.0205588723869673 0.0252691160863193 0.0136559785874256 0.0142328494164532 0.0140154169586545 0.0524087885506954 0.0653559757861467 0.0484216407486731 0.0531704281916398 0.103189877564391 0.0721696685627372 0.0212206094559036 0 0.0498026805189565 0.0157637538752562 0.0380947845858978 0.0448984173307891 0.0301606810281776 0.0177452958535159 0.012950012950013 0.0478370805713114 0.0394249218072384 0.0217192997697754 0.0768793662466156 0.0290720915189441 0.0201140046603769 0.0570213768183311 0.0292193355777171 0.0237680240849311 0.040807560137457 0.0272604488061163 0.0338677292378724 0.0392895146107882 0.0252489830270725 0.0501218873168842 0.0241589659962554 0.0358005907097467 0.015821533106558 0.0350861135264595 0.0452941737389148 0.0500228365123208 0.0180483017676056 0.0599762061608346 0.069030664147653 0.022168927225458 0.0125825731362064 0.0306292115165835 0.0098960910440376 0.0646435625785599
"kapitel" 0.0504690654316589 0.0319231156960919 0 0 0.0723964809014936 0.0314200431311501 0.075885528787755 0.00164470979095739 0 0 0 0 0 0.0653559757861467 0.00372474159605177 0.0248882855365122 0 0.00155203588306962 0.103980986333928 0 0.0151299282589235 0.0230393325869129 0.00119046201830931 0 0.00678615323133996 0 0.181300181300181 0.00911182487072599 0 0.0108596498848877 0 0.000726802287973603 0.0178369475290135 0.0551619840959943 0 0 0 0 0.00207353444313505 0.00327412621756569 0.000935147519521204 0 0 0.00298338255914556 0 0 0.0429102698579193 0.0014499372902122 0 0 0 0 0 0.068259385665529 0.0570928329463708 0.0341174358053511
"ins" 0.0489846811542572 0.0386437716321113 0 0.0185718265391401 0.0393459135334204 0.00142818377868864 0.0592855693654336 0.0296047762372329 0.0303229393035832 0.0382367400447916 0.113862795331625 0.0710114459238496 0.0322515621850433 0.0107140943911716 0.0353850451624919 0.0452514282482041 0.0614225461692805 0.0395769150182752 0.0806383159324336 0.0280007466865783 0.116626530329202 0.0634592143183389 0.0761895691717956 0.12347064765967 0.0863349494431584 0.0867547797282998 0.0518000518000518 0.0415727009726873 0.0499382342891687 0.0825333391251466 0.0367683925527292 0.063958601341677 0.00379509521893904 0.0477244132066467 0.0203264943149336 0 0.0300687285223368 0.0179671139858493 0.0311030166470257 0.021281820414177 0.0327301631832422 0.029617478869068 0.036238448994383 0.0238670604731645 0.0369169105819687 0.0152548319680259 0.0309907504529417 0.0449480559965781 0.0462487732794892 0.00294964948331973 0.0231616044179625 0.0302303553074427 0.0377477194086191 0.028878970858493 0.0296882731321128 0.0359130903214222
"womit" 0.00593753710960694 0.00336032796800968 0 0 0.0283290577440627 0.0314200431311501 0.0321459531670351 0.0633213269518593 0.0126345580431597 0.0163871743049107 0.0426985482493595 0.0177528614809624 0.0120943358193913 0.020356779343226 0.0186237079802589 0.00905028564964082 0.0196552147741698 0.0496651482582277 0.0127323656735421 0.00933358222885944 0.0296294428403919 0.0286981160293125 0.0261901644028047 0.0261907434429603 0.0248825618482465 0.00591509861783862 0.0259000259000259 0.00341693432652224 0.023654953084343 0 0.0033425811411572 0.0138092434714984 0.00303607617515123 0 0.0025408117893667 0 0.00859106529209622 0.0867377916558244 0.0642795677371864 0.0532045510354424 0.0701360639640903 0.00683480281593876 0 0.00895014767743668 0.00527384436885268 0.00457644959040776 0 0.000724968645106099 0.00112801886047535 0.00589929896663946 0.0077205348059875 0.00806142808198472 0 0.00350048131618097 0.00228371331785483 0.00538696354821332
"herum" 0.0089063056644104 0.0201619678080581 0.0108813928182807 0.00928591326957006 0 0.00571273511475457 0.00816823400145974 0.00493412937287216 0.0328498509122151 0 0.0284656988329063 0.00186872226115394 0.0282201169119129 0.00321422831735148 0.00558711239407766 0 0.0253879857499693 0.00465610764920885 0.0169764875647229 0.0280007466865783 0.0132386872265581 0.0101049704328565 0.0130950822014024 0.0261907434429603 0.00829418728274884 0.017088062673756 0.012950012950013 0.00455591243536299 0.023654953084343 0 0 0.0188968594873137 0.00341558569704514 0.00309898787056147 0.0114336530521502 0.015845349389954 0.0268470790378007 0.00371733392810676 0.0103676722156752 0.0106409102070885 0.00654603263664843 0.0341740140796938 0.00603974149906384 0.00895014767743668 0.00263692218442634 0.00152548319680259 0 0.00797465509616709 0.00225603772095069 0.0088489484499592 0.0286113936927772 0.00806142808198472 0 0.00700096263236195 0.00152247554523655 0.00897827258035554
